id_1c;name;factory;country;amount;price;group;description
00000013100000014;5-нок таб. п/о 50мг №50;Lek Pharma;Словения;2;110;Прочие уроантисептики;
01001035501000056;911 Гель-бальзам с бишофитом д/тела 100мл;ТВИНС Тэк ЗАО;Россия;1;74;;
01000971101000300;BLUEII Бритвы Одноразовые 5шт;Проктер энд Гэмбл;Польша;1;90;;
01000965901000330;Carefree® Breeze Fresh Blossom Салфетки ежедневные ароматизированные, 20 шт.;JOHNSON & JOHNSON;Италия;2;48;;
01000966001000330;Carefree® Breeze Lemon Verbena Салфетки ежедневные ароматизированные, 20 шт.;JOHNSON & JOHNSON;Италия;1;48;;
01000965801000330;Carefree® Breeze Normal Салфетки ежедневные, 20 шт;JOHNSON & JOHNSON;Италия;2;48;;
01000228601000330;Clean&Clear® Очищающий лосьон от черных точек 200 мл;JOHNSON & JOHNSON;Италия;1;211;;
01000230801000340;Compeed® Карандаш, защищающий от появления мозолей, 10 мл;JOHNSON & JOHNSON;Швейцария;1;290;;
01000230201000302;Compeed® Пластырь от влажных мозолей на ногах малый, Blister Small, 6 шт;Johnson&Johnson;Франция;1;270;;
01000230101000339;Compeed® Пластырь от влажных мозолей на ногах средний Blister Medium, 5 шт;JOHNSON & JOHNSON;Дания;2;270;;
01000230401000339;Compeed® Пластырь от врастающих мозолей между пальцами ног,Corn between Toes, 10 шт;JOHNSON & JOHNSON;Дания;1;240;;
01000230501000339;Compeed® Пластырь от врастающих мозолей на ногах средний, Corn Medium, 10 шт.;JOHNSON & JOHNSON;Дания;1;240;;
01000230301000339;Compeed® Пластырь от натоптышей средний, Callouse Medium, 6 шт;JOHNSON & JOHNSON;Дания;2;270;;
01000493101001186;GILLETTE FUSION ГЕЛЬ Д/БР Д/ЧУВСТ КОЖИ 200МЛ;Gillette;Великобритания;1;230;;
01000496301001368;GILLETTE кассеты №2 (FUSION);Gillette;Германия;1;417;;
01001035701000335;Johnson s® baby Детские карманные влажные салфетки 15 шт;JOHNSON & JOHNSON;Россия;1;70;;
01001035801000335;Johnson s® baby карманные влажные салфетки Нежная забота 25 шт;JOHNSON & JOHNSON;Россия;1;62;;
01001000601000330;Johnson s® baby масло 100мл.;JOHNSON & JOHNSON;Италия;1;95;;
01001018201000759;Johnson s® baby прокладки для груди в период грудного вскармливания 30 шт;JOHNSON & JOHNSON;Франция;1;251;;
01001018001000343;Johnson s® baby салфетки Без отдушки 24 шт;JOHNSON & JOHNSON;Германия;2;91;;
